单价,总价,户型,月供,朝向,标题,楼层,装修,面积
0,31076.0,295.0,3室2厅,17375.0,北,（滨海御城）三房两厅，地铁口，万达旁，随时看房，高层，金隆学,中层,精装修,94.9
1,28539.0,280.0,3室2厅,16491.0,南,滨海御城 南向高层 精装三房 商圈标杆住宅 物有所值,高层,精装修,98.1
2,19435.0,165.0,3室2厅,9718.0,南,年底一手真实内部特价清货88折，错过 不再有，碧桂园玺悦,低层,精装修,84.9
3,19584.0,190.0,3室2厅,11190.0,南,碧桂园玺悦 海景洋房 低首付 年底特惠97折另送5年管理费,低层,精装修,97.0
4,20665.0,200.0,3室2厅,11779.0,东南,碧桂园玺悦 单合同首付低 双地铁山海景观 额外98折送管理费,低层,精装修,96.8
5,17113.0,166.0,3室2厅,9777.0,东南,阳光城丽景湾 首付35万入读华师附中 送3年管理费,低层,精装修,97.0
6,16210.0,135.0,3室2厅,7951.0,南,阳光城熙悦 万达旁 首付可分期 可公积金 认购送5年管理费,中层,精装修,83.3
7,16667.0,155.0,3室2厅,9129.0,南北,越秀滨海新城 全新27栋 温馨3房 首付46万 可公积金,中层,豪华装修,93.0
8,28969.0,275.0,3室2厅,16197.0,南北,越秀滨海御城 精装三房带车位出售 近地铁生活方便 随时看房,中层,精装修,94.9
9,13597.0,128.0,3室2厅,7539.0,南,真盘带看，南沙金州成熟商圈，南向三房两卫,低层,精装修,94.1
10,16200.0,140.0,3室2厅,8245.0,南,南沙金洲全新保养带家私 精装南向三房 带学位 满五不用税,中层,精装修,86.4
11,24286.0,199.0,3室2厅,11721.0,东南,（金隆学校）万达商圈 时代云图 证过二 总价低 至笋三房,高层,精装修,81.9
12,32955.0,290.0,3室1厅,17080.0,西,全景VR看房 金碧新城 实用三房 低于市场价20万 随时看房,低层,精装修,88.0
13,16823.0,140.0,3室2厅,8245.0,南,阳光城熙悦 单合同首付三十五万 带 送六年管理费,低层,豪华装修,83.2
14,17422.0,168.0,3室2厅,9895.0,南,可公积金 客退单位 看房可打8折仅限一套 阳光城丽景湾,中层,精装修,96.4
15,20078.0,195.0,3室2厅,11485.0,南北,碧桂园玺悦 地铁物业 悦山看海 带省级教育 成熟小区 低首付,中层,豪华装修,97.1
16,18519.0,158.0,3室2厅,9306.0,南,碧桂园玺悦 近地铁 84三房 首付30万送车位 依山看海景,中层,精装修,85.3
17,17628.0,149.8,3室2厅,8823.0,南,碧桂园玺悦 84方内部单位本人项目主管 欢迎咨询其他内部单位,中层,精装修,85.0
18,22419.0,223.0,3室2厅,13134.0,南北,业主急卖直降30万碧桂园豪庭 新净3房 金隆学位 金州地铁旁,低层,精装修,99.5
19,16811.0,140.0,3室2厅,8245.0,南,18年广州銷冠 楼下市妇幼 华师附中 2站到区府 来电减十万,中层,精装修,83.3
20,20439.0,200.0,3室2厅,11779.0,南,碧桂园蜜柚 精装三房两卫 南向 正看花园 业主急售,中层,精装修,97.9
21,17598.0,166.0,3室2厅,9777.0,南,配套12年教育 华师附2中学位 地铁十份钟 内部团购一口价,中层,精装修,94.3
22,16225.0,139.0,3室2厅,8187.0,东南,越秀滨海新城 首付13万免息分期 单合同 内部员工 可公积金,中层,精装修,85.7
23,17341.0,150.0,3室2厅,8834.0,南北,单合同，首付45万，看房找我额外送3年管理费，阳光城.丽景湾,中层,精装修,86.5
24,21903.0,195.0,3室2厅,11485.0,南,（真实在售）碧桂园天玺湾 精装三房 业主置换 欢迎选购,低层,精装修,89.0
25,23487.0,232.0,3室2厅,13664.0,南,南沙时代长岛中高楼层精装三房正南向看山 生活方便 地铁口旁,中层,精装修,98.8
26,18332.0,178.0,3室2厅,10484.0,南,碧桂园玺悦 720度全景看房 手上有97方内部单位 欢迎致电,中层,精装修,97.1
27,16561.0,156.0,3室2厅,9188.0,南,来电送2年管理费可折现 可公积金贷款 阳光城丽景湾,中层,精装修,94.2
28,16569.0,155.0,3室2厅,9129.0,南北,南沙阳光城，送精装修，95平带主套，南北通透，找我有额外折扣,中层,精装修,93.6
29,16337.0,153.0,3室2厅,9011.0,南,越秀滨海新城 首付13万起 首付免息分期 带学位 地铁口,中层,精装修,93.7
30,32222.0,290.0,3室2厅,17080.0,西南,云山居(白云）3室290万低楼层，南向，随时看房,低层,精装修,90.0
31,34940.0,290.0,3室2厅,17080.0,南北,洛涛北区 豪装三房带40方单边花园 已搭建玻璃房，送家私电,低层,豪华装修,83.0
32,21701.0,211.0,3室2厅,12427.0,南,海御城 精装3房 户型好 小区位置优越 地铁口 价格便宜,中层,精装修,97.2
33,22531.0,285.0,3室2厅,16786.0,南,滨海珺城 全新南向大三房 满两年 入读广外 近地铁,低层,精装修,126.5
34,17429.0,146.0,3室2厅,8599.0,南,VR全景 阳光城丽景湾单合同 万达旁 儿童公园 江景房 澜悦,低层,精装修,83.8
35,8941.0,76.0,3室2厅,3481.0,南,业主急售 精装房 家私 就读名校 地铁口 产权清晰 车位,中层,精装修,85.0
