,上映时间,主演,电影名,评分
0,1993-01-01,"张国荣,张丰毅,巩俐",霸王别姬,9.6
1,1994-10-14(美国),"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",肖申克的救赎,9.5
2,1953-09-02(美国),"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",罗马假日,9.1
3,1994-09-14(法国),"让·雷诺,加里·奥德曼,娜塔莉·波特曼",这个杀手不太冷,9.5
4,1972-03-24(美国),"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",教父,9.3
5,1998-04-03,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",泰坦尼克号,9.5
6,1993-07-01(中国香港),"周星驰,巩俐,郑佩佩",唐伯虎点秋香,9.2
7,2001-07-20(日本),"柊瑠美,入野自由,夏木真理",千与千寻,9.3
8,1940-05-17(美国),"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",魂断蓝桥,9.2
9,1939-12-15(美国),"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",乱世佳人,9.1
10,1992,"寺田农,鹫尾真知子,龟山助清",天空之城,9.1
11,1999-02-13(中国香港),"周星驰,莫文蔚,张柏芝",喜剧之王,9.2
12,1965-12-31,"邱岳峰,毕克,富润生",大闹天宫,9.0
13,1993-12-15(美国),"连姆·尼森,拉尔夫·费因斯,本·金斯利",辛德勒的名单,9.2
14,1965-03-02(美国),"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",音乐之声,9.0
15,1997-05-30(中国香港),"张国荣,梁朝伟,张震",春光乍泄,9.2
16,1990-12-06(美国),"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",剪刀手爱德华,8.8
17,1998-10-28(意大利),"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",海上钢琴师,9.2
18,1997-12-20(意大利),"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",美丽人生,9.3
19,2000-01-14,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",黑客帝国,9.0
20,2004-03-15,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",指环王3：王者无敌,9.2
21,2003-11-21,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",加勒比海盗,8.9
22,2002-01-26,"丹尼尔•雷德克里夫,鲁伯特·格林特,艾玛·沃特森",哈利·波特与魔法石,9.1
23,2003-09-05,"刘德华,梁朝伟,黄秋生",无间道,9.1
24,1998-06-01(美国),"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",楚门的世界,8.9
25,2008-07-18(美国),"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",蝙蝠侠：黑暗骑士,9.3
26,1993-02-05(中国香港),"张国荣,梁朝伟,张学友",射雕英雄传之东成西就,8.9
27,1974-12-12(美国),"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",教父2,9.0
28,2003-04-25,"伊利亚•伍德,伊恩·麦克莱恩,丽芙•泰勒",指环王2：双塔奇兵,9.1
29,2008-06-27(美国),"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",机器人总动员,9.3
30,1994-05-18(法国),"葛优,巩俐,牛犇",活着,9.0
31,1998-07-24(美国),"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",拯救大兵瑞恩,8.9
32,1988-11-17(意大利),"菲利普·努瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",天堂电影院,9.2
33,2010-09-01,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",盗梦空间,9.2
34,1994-09-17,"张国荣,梁朝伟,刘嘉玲",东邪西毒,8.9
35,2004-11-20(日本),"倍赏千惠子,木村拓哉,美轮明宏",哈尔的移动城堡,9.0
36,2010-03-12(英国),"Forest,理查·基尔,琼·艾伦",忠犬八公的故事,9.3
37,1999-10-15(美国),"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",搏击俱乐部,8.8
38,1997-07-12(日本),"松田洋治,石田百合子,田中裕子",幽灵公主,8.9
39,2013-04-20,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",疯狂原始人,9.5
40,2010-01-04,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",阿凡达,9.0
41,1992,"岛本须美,永井一郎,坂本千夏",风之谷,8.9
42,2006-03-17(美国),"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",V字仇杀队,8.8
43,2004-10-16,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",放牛班的春天,8.8
44,1957-04-13(美国),"亨利·方达,李·科布,马丁·鲍尔萨姆",十二怒汉,9.1
45,2008-01-17,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",当幸福来敲门,8.9
