,单价,总价,户型,月供,朝向,标题,楼层,装修,面积
0,31076 元/m²,295万,3室2厅,"
17375元 ",北,"
      （滨海御城）三房两厅，地铁口，万达旁，随时看房，高层，金隆学  ",中层(共32层),精装修,94.9平方米
1,28539 元/m²,280万,3室2厅,"
16491元 ",南,"
      滨海御城 南向高层 精装三房 商圈标杆住宅 物有所值  ",高层(共31层),精装修,98.1平方米
2,19435 元/m²,165万,3室2厅,"
9718元 ",南,"
      年底一手真实内部特价清货88折，错过 不再有，碧桂园玺悦  ",低层(共33层),精装修,84.9平方米
3,19584 元/m²,190万,3室2厅,"
11190元 ",南,"
      碧桂园玺悦 海景洋房 低首付 年底特惠97折另送5年管理费  ",低层(共31层),精装修,97平方米
4,20665 元/m²,200万,3室2厅,"
11779元 ",东南,"
      碧桂园玺悦 单合同首付低 双地铁山海景观 额外98折送管理费  ",低层(共34层),精装修,96.8平方米
5,17113 元/m²,166万,3室2厅,"
9777元 ",东南,"
      阳光城丽景湾 首付35万入读华师附中 送3年管理费  ",低层(共33层),精装修,97平方米
6,16210 元/m²,135万,3室2厅,"
7951元 ",南,"
      阳光城熙悦 万达旁 首付可分期 可公积金 认购送5年管理费  ",中层(共31层),精装修,83.3平方米
7,16667 元/m²,155万,3室2厅,"
9129元 ",南北,"
      越秀滨海新城 全新27栋 温馨3房 首付46万 可公积金  ",中层(共33层),豪华装修,93平方米
8,28969 元/m²,275万,3室2厅,"
16197元 ",南北,"
      越秀滨海御城 精装三房带车位出售 近地铁生活方便 随时看房  ",中层(共32层),精装修,94.9平方米
9,13597 元/m²,128万,3室2厅,"
7539元 ",南,"
      真盘带看，南沙金州成熟商圈，南向三房两卫  ",低层(共32层),精装修,94.1平方米
10,16200 元/m²,140万,3室2厅,"
8245元 ",南,"
      南沙金洲全新保养带家私 精装南向三房 带学位 满五不用税  ",中层(共17层),精装修,86.4平方米
11,24286 元/m²,199万,3室2厅,"
11721元 ",东南,"
      （金隆学校）万达商圈 时代云图 证过二 总价低 至笋三房  ",高层(共18层),精装修,81.9平方米
12,32955 元/m²,290万,3室1厅,"
17080元 ",西,"
      全景VR看房 金碧新城 实用三房 低于市场价20万 随时看房  ",低层(共11层),精装修,88平方米
13,16823 元/m²,140万,3室2厅,"
8245元 ",南,"
      阳光城熙悦 单合同首付三十五万 带 送六年管理费  ",低层(共32层),豪华装修,83.2平方米
14,17422 元/m²,168万,3室2厅,"
9895元 ",南,"
      可公积金 客退单位 看房可打8折仅限一套 阳光城丽景湾  ",中层(共30层),精装修,96.4平方米
15,20078 元/m²,195万,3室2厅,"
11485元 ",南北,"
      碧桂园玺悦 地铁物业 悦山看海 带省级教育 成熟小区 低首付  ",中层(共33层),豪华装修,97.1平方米
16,18519 元/m²,158万,3室2厅,"
9306元 ",南,"
      碧桂园玺悦 近地铁 84三房 首付30万送车位 依山看海景  ",中层(共33层),精装修,85.3平方米
17,17628 元/m²,149.8万,3室2厅,"
8823元 ",南,"
      碧桂园玺悦 84方内部单位本人项目主管 欢迎咨询其他内部单位  ",中层(共32层),精装修,85平方米
18,22419 元/m²,223万,3室2厅,"
13134元 ",南北,"
      业主急卖直降30万碧桂园豪庭 新净3房 金隆学位 金州地铁旁  ",低层(共18层),精装修,99.5平方米
19,16811 元/m²,140万,3室2厅,"
8245元 ",南,"
      18年广州銷冠 楼下市妇幼 华师附中 2站到区府 来电减十万  ",中层(共31层),精装修,83.3平方米
20,20439 元/m²,200万,3室2厅,"
11779元 ",南,"
      碧桂园蜜柚 精装三房两卫 南向 正看花园 业主急售  ",中层(共27层),精装修,97.9平方米
21,17598 元/m²,166万,3室2厅,"
9777元 ",南,"
      配套12年教育 华师附2中学位 地铁十份钟 内部团购一口价  ",中层(共31层),精装修,94.3平方米
22,16225 元/m²,139万,3室2厅,"
8187元 ",东南,"
      越秀滨海新城 首付13万免息分期 单合同 内部员工 可公积金  ",中层(共32层),精装修,85.7平方米
23,17341 元/m²,150万,3室2厅,"
8834元 ",南北,"
      单合同，首付45万，看房找我额外送3年管理费，阳光城.丽景湾  ",中层(共33层),精装修,86.5平方米
24,21903 元/m²,195万,3室2厅,"
11485元 ",南,"
      （真实在售）碧桂园天玺湾 精装三房 业主置换 欢迎选购  ",低层(共28层),精装修,89平方米
