,设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,观看时长
0,10001,20170702,精彩点,寄生兽,2017-07-01 22:08:17,2017-07-02 00:08:33,10853,7216.0
2,10001,20170716,精彩点,樱之味：舌尖上的日本,2017-07-16 22:04:14,2017-07-16 22:39:37,10853,2123.0
3,10001,20170716,精彩点,06月16日 奔跑吧：热巴林依晨变暴力姐妹花,2017-07-16 19:23:40,2017-07-16 20:49:22,10853,5142.0
4,10001,20170716,精彩点,樱之味：舌尖上的日本,2017-07-16 22:39:35,2017-07-16 23:10:13,10853,1838.0
5,10001,20170719,今日上线,超时空男臣,2017-07-19 19:20:17,2017-07-19 20:02:41,10853,2544.0
6,10001,20170722,精彩点,超时空男臣,2017-07-22 21:26:24,2017-07-22 21:27:26,10853,62.0
7,10001,20170722,精彩点,超时空男臣,2017-07-22 19:28:44,2017-07-22 20:10:15,10853,2491.0
8,10001,20170722,精彩点,07月09日 极限挑战 第三季：孙红雷智斗大妈 张艺兴进化小狐狸,2017-07-22 21:28:37,2017-07-22 23:02:58,10853,5661.0
9,10001,20170723,精彩点,热浪球爱战,2017-07-23 00:38:27,2017-07-23 00:46:29,10853,482.0
11,10001,20170725,精彩点,超时空男臣,2017-07-25 19:43:00,2017-07-25 20:21:11,10853,2291.0
12,10001,20170725,精彩点,超时空男臣,2017-07-25 19:00:57,2017-07-25 19:43:01,10853,2524.0
13,10001,20170725,精彩点,超时空男臣,2017-07-25 18:55:24,2017-07-25 19:00:58,10853,334.0
14,10001,20170727,精彩点,舌尖上的中国Ⅱ？心传,2017-07-27 20:24:13,2017-07-27 21:13:13,10853,2940.0
15,10001,20170727,精彩点,舌尖上的中国Ⅱ？时节,2017-07-27 20:19:28,2017-07-27 20:24:15,10853,287.0
16,10001,20170829,精彩点,味道中国,2017-08-29 19:49:08,2017-08-29 20:34:01,10853,2693.0
18,10001,20170829,精彩点,味道中国,2017-08-29 20:34:00,2017-08-29 21:32:15,10853,3495.0
20,10001,20170830,热点专题,穿越时空的少女,2017-08-30 20:57:06,2017-08-30 21:00:28,10853,202.0
21,10001,20170830,热点专题,蜡笔小新：梦境世界大突击,2017-08-30 21:00:27,2017-08-30 22:20:52,10853,4825.0
24,10001,20170830,精彩点,霍比特人：五军之战,2017-08-29 22:00:35,2017-08-30 00:31:14,10853,9039.0
26,10001,20170831,热点专题,勇者传说,2017-08-30 22:20:51,2017-08-31 00:09:05,10853,6494.0
27,10001,20170831,院线大片,摔跤吧！爸爸,2017-08-31 21:38:28,2017-08-31 22:19:03,10853,2435.0
28,10001,20170831,热点专题,青衣小怪物,2017-08-31 20:26:48,2017-08-31 21:25:34,10853,3526.0
31,10001,20170831,院线大片,摔跤吧！爸爸,2017-08-31 21:30:36,2017-08-31 21:36:33,10853,357.0
32,10001,20170903,今日上线,与君相恋100次,2017-09-03 19:46:27,2017-09-03 20:19:18,10853,1971.0
33,10001,20170903,今日上线,与君相恋100次,2017-09-03 20:19:40,2017-09-03 20:21:33,10853,113.0
34,10004,20170803,精彩点,07月30日 极限挑战 第三季：孙红雷脸基尼抢镜,2017-08-03 22:04:12,2017-08-03 22:10:15,10886,363.0
35,10004,20170803,精彩点,07月30日 极限挑战 第三季：孙红雷脸基尼抢镜,2017-08-03 22:10:48,2017-08-03 23:44:01,10886,5593.0
36,10010,20170717,精彩点,我的前半生,2017-07-17 12:11:06,2017-07-17 12:53:39,11021,2553.0
37,10010,20170717,精彩点,我的前半生,2017-07-17 11:23:17,2017-07-17 12:10:58,11021,2861.0
38,10010,20170717,精彩点,我的前半生,2017-07-17 10:38:35,2017-07-17 11:23:09,11021,2674.0
39,10010,20170718,精彩点,我的前半生,2017-07-18 11:45:10,2017-07-18 12:26:24,11021,2474.0
40,10010,20170718,精彩点,我的前半生,2017-07-18 10:57:39,2017-07-18 11:45:00,11021,2841.0
41,10010,20170719,精彩点,我的前半生,2017-07-19 09:49:34,2017-07-19 10:31:26,11021,2512.0
42,10010,20170719,精彩点,我的前半生,2017-07-19 11:03:04,2017-07-19 11:21:21,11021,1097.0
43,10010,20170719,精彩点,我的前半生,2017-07-19 10:31:46,2017-07-19 11:03:05,11021,1879.0
44,10010,20170719,精彩点,我的前半生,2017-07-19 09:40:03,2017-07-19 09:49:35,11021,572.0
45,10010,20170719,精彩点,我的前半生,2017-07-19 11:21:30,2017-07-19 12:44:26,11021,4976.0
46,10010,20170719,精彩点,我的前半生,2017-07-19 12:44:34,2017-07-19 13:25:47,11021,2473.0
47,10010,20170722,精彩点,07月14日 中国新歌声 第二季：杰伦Eason对唱,2017-07-22 10:11:40,2017-07-22 10:50:13,11021,2313.0
