,用户号,设备号,点播日期,节目名称,点播金额,点播金额.元.,二级目录
0,10004,11186,20170716,分裂,999,9.99,院线大片
1,10004,11186,20170716,破冰船,499,4.99,精彩点
2,10004,11186,20170818,逆时营救,999,9.99,院线大片
3,10012,10149,20170702,幽游白书,99,0.99,动漫剧场
4,10012,10149,20170704,蓝精灵：寻找神秘村,999,9.99,院线大片
5,10012,10149,20170711,巧虎来啦,49,0.49,少儿乐园
6,10012,10149,20170903,海底小纵队,99,0.99,动漫剧场
7,10012,10149,20170910,三生三世十里桃花,999,9.99,院线大片
8,10012,10149,20170928,银河护卫队2,999,9.99,院线大片
9,10025,10114,20170901,海底小纵队,99,0.99,动漫剧场
10,10064,10645,20170806,人民的名义,99,0.99,精彩点
11,10064,10645,20170807,人民的名义,99,0.99,精彩点
12,10064,10645,20170807,人民的名义,99,0.99,精彩点
13,10082,11141,20170906,讲古：惠来海角甘泉,50,0.5,潮语专区
14,10082,11141,20170906,讲古：贼,50,0.5,潮语专区
15,10085,10452,20170808,速度与激情8,999,9.99,院线大片
16,10088,11234,20170807,血狼犬,999,9.99,院线大片
17,10088,11234,20170811,摔跤吧！爸爸,999,9.99,院线大片
18,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
19,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
20,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
21,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
22,10104,10349,20170714,摔跤吧！爸爸,999,9.99,院线大片
23,10105,10785,20170707,猪猪侠：光明守卫者·上部,99,0.99,动漫剧场
24,10105,10785,20170708,猪猪侠：光明守卫者·上部,99,0.99,动漫剧场
25,10107,11259,20170827,同盟,99,0.99,精彩点
26,10107,11259,20170827,同盟,99,0.99,精彩点
27,10107,11259,20170828,同盟,99,0.99,精彩点
28,10107,11259,20170828,同盟,99,0.99,精彩点
29,10107,11259,20170828,同盟,99,0.99,精彩点
30,10107,11259,20170828,同盟,99,0.99,精彩点
31,10107,11259,20170828,同盟,99,0.99,精彩点
32,10107,11259,20170828,同盟,99,0.99,精彩点
33,10115,11179,20170813,巧虎来啦,49,0.49,少儿乐园
34,10115,11179,20170813,08月09日 智慧树,49,0.49,少儿乐园
