,设备号,统计时间,用户号,频道,回看开始时间,回看结束时间,回看时长.时.,新回看时长
0,10001,20170723,10853,东方卫视-高清,2017-07-22 23:02:56,2017-07-23 00:38:30,0.6417,5734.0
2,10004,20170713,10886,北京卫视-高清,2017-07-12 22:11:30,2017-07-13 07:48:07,2.0,34597.0
7,10004,20170813,10886,中央6台-高清,2017-08-13 13:01:04,2017-08-13 15:03:56,1.0656,7372.0
9,10004,20170903,10886,深圳卫视-高清,2017-09-03 21:28:08,2017-09-03 22:04:26,0.0739,2178.0
11,10004,20170923,10886,东方卫视-高清,2017-09-23 22:52:22,2017-09-23 23:27:07,0.5792,2085.0
12,10004,20170924,10886,东方卫视-高清,2017-09-24 11:25:28,2017-09-24 12:06:24,0.1067,2456.0
14,10004,20170924,10886,东方卫视-高清,2017-09-24 11:08:46,2017-09-24 11:25:17,0.2753,991.0
15,10004,20170924,10886,东方卫视-高清,2017-09-24 11:06:04,2017-09-24 11:07:37,0.0258,93.0
16,10004,20170924,10886,东方卫视-高清,2017-09-24 00:41:32,2017-09-24 01:11:20,0.4967,1788.0
17,10004,20170924,10886,东方卫视-高清,2017-09-24 00:04:56,2017-09-24 00:41:34,0.6106,2198.0
18,10004,20170924,10886,东方卫视-高清,2017-09-23 23:27:06,2017-09-24 00:04:57,0.5483,2271.0
20,10004,20170925,10886,东方卫视-高清,2017-09-25 21:35:18,2017-09-25 22:12:12,0.4117,2214.0
22,10004,20170925,10886,东方卫视-高清,2017-09-25 22:12:11,2017-09-25 22:34:09,0.3661,1318.0
23,10004,20170926,10886,东方卫视-高清,2017-09-26 22:18:58,2017-09-26 22:20:45,0.0297,107.0
24,10004,20170926,10886,东方卫视-高清,2017-09-26 22:20:43,2017-09-26 23:16:10,0.9242,3327.0
25,10004,20170926,10886,东方卫视-高清,2017-09-25 22:34:08,2017-09-26 07:19:30,1.4311,31522.0
30,10004,20170927,10886,东方卫视-高清,2017-09-27 00:00:26,2017-09-27 00:41:41,0.6875,2475.0
31,10004,20170927,10886,东方卫视-高清,2017-09-26 23:18:42,2017-09-27 00:00:27,0.6883,2505.0
33,10010,20170701,11021,浙江卫视-高清,2017-07-01 15:39:03,2017-07-01 16:01:21,0.0225,1338.0
35,10010,20170701,11021,浙江卫视-高清,2017-07-01 16:01:33,2017-07-01 17:36:24,1.5808,5691.0
36,10010,20170705,11021,湖南卫视-高清,2017-07-05 20:35:31,2017-07-05 20:38:39,0.0522,188.0
37,10010,20170705,11021,湖南卫视-高清,2017-07-05 20:39:11,2017-07-05 21:26:27,0.7878,2836.0
38,10010,20170706,11021,湖南卫视-高清,2017-07-06 20:13:20,2017-07-06 20:56:27,0.7186,2587.0
39,10010,20170711,11021,湖南卫视-高清,2017-07-11 13:23:52,2017-07-11 13:24:52,0.0167,60.0
40,10010,20170711,11021,湖南卫视-高清,2017-07-11 11:21:36,2017-07-11 12:13:22,0.2228,3106.0
42,10010,20170714,11021,湖南卫视-高清,2017-07-14 11:18:35,2017-07-14 11:20:34,0.0331,119.0
43,10010,20170714,11021,广州影视,2017-07-14 10:59:20,2017-07-14 11:02:24,0.0511,184.0
44,10010,20170714,11021,广州影视,2017-07-14 10:38:03,2017-07-14 10:59:21,0.355,1278.0
45,10010,20170714,11021,广州影视,2017-07-14 10:34:20,2017-07-14 10:37:33,0.0536,193.0
46,10010,20170718,11021,湖南卫视-高清,2017-07-18 19:50:19,2017-07-18 20:35:19,0.5886,2700.0
48,10010,20170902,11021,中央6台-高清,2017-09-02 15:58:15,2017-09-02 17:58:19,1.9719,7204.0
50,10012,20170702,11001,翡翠台,2017-07-02 17:13:08,2017-07-02 17:21:36,0.1411,508.0
51,10012,20170708,11001,翡翠台,2017-07-08 17:19:32,2017-07-08 18:07:11,0.1197,2859.0
53,10012,20170713,11001,翡翠台,2017-07-13 16:43:06,2017-07-13 16:45:46,0.0444,160.0
54,10012,20170713,11001,翡翠台,2017-07-13 16:52:00,2017-07-13 16:54:55,0.0486,175.0
55,10012,20170713,11001,翡翠台,2017-07-13 16:45:44,2017-07-13 16:47:03,0.0219,79.0
56,10012,20170713,11001,翡翠台,2017-07-13 16:48:31,2017-07-13 16:50:45,0.0372,134.0
57,10012,20170713,11001,翡翠台,2017-07-13 16:31:06,2017-07-13 16:43:07,0.2003,721.0
58,10012,20170713,11001,翡翠台,2017-07-13 16:50:44,2017-07-13 16:52:01,0.0214,77.0
59,10012,20170713,11001,翡翠台,2017-07-13 16:57:03,2017-07-13 16:58:10,0.0186,67.0
60,10012,20170713,11001,翡翠台,2017-07-13 16:54:54,2017-07-13 16:57:05,0.0364,131.0
61,10012,20170801,11001,凤凰中文,2017-08-01 16:41:33,2017-08-01 16:48:02,0.1081,389.0
62,10012,20170801,11001,凤凰中文,2017-08-01 16:48:00,2017-08-01 17:26:44,0.6456,2324.0
63,10012,20170806,11001,浙江卫视-高清,2017-08-06 10:50:24,2017-08-06 10:55:56,0.0922,332.0
64,10012,20170806,11001,浙江卫视-高清,2017-08-06 10:56:47,2017-08-06 11:05:22,0.1431,515.0
65,10012,20170810,11001,凤凰中文,2017-08-10 15:38:03,2017-08-10 15:39:37,0.0261,94.0
66,10012,20170810,11001,凤凰中文,2017-08-10 15:39:36,2017-08-10 16:05:21,0.0892,1545.0
68,10012,20170810,11001,翡翠台,2017-08-10 16:06:54,2017-08-10 16:10:34,0.0611,220.0
69,10012,20170810,11001,凤凰中文,2017-08-10 16:05:20,2017-08-10 16:06:55,0.0264,95.0
70,10012,20170811,11001,翡翠台,2017-08-11 19:36:26,2017-08-11 19:49:39,0.2203,793.0
71,10012,20170811,11001,翡翠台,2017-08-11 18:52:41,2017-08-11 19:32:43,0.6672,2402.0
72,10012,20170814,11001,广州新闻,2017-08-14 16:59:26,2017-08-14 17:00:53,0.0242,87.0
73,10012,20170814,11001,广州新闻,2017-08-14 16:57:55,2017-08-14 16:59:27,0.0256,92.0
74,10012,20170814,11001,凤凰中文,2017-08-14 16:13:52,2017-08-14 16:15:02,0.0194,70.0
75,10012,20170814,11001,凤凰中文,2017-08-14 15:50:44,2017-08-14 16:13:53,0.2314,1389.0
77,10012,20170814,11001,广东体育,2017-08-14 15:40:51,2017-08-14 15:50:45,0.165,594.0
78,10012,20170817,11001,翡翠台,2017-08-17 15:39:43,2017-08-17 17:27:39,1.4608,6476.0
80,10012,20170818,11001,翡翠台,2017-08-18 19:58:09,2017-08-18 20:45:39,0.7608,2850.0
82,10012,20170901,11001,翡翠台,2017-09-01 18:54:24,2017-09-01 18:55:49,0.0236,85.0
83,10012,20170901,11001,翡翠台,2017-09-01 18:55:47,2017-09-01 19:05:33,0.1628,586.0
84,10012,20170904,11001,中央1台-高清,2017-09-04 16:35:00,2017-09-04 17:19:48,0.7467,2688.0
85,10012,20170911,11001,凤凰中文,2017-09-11 15:45:35,2017-09-11 17:32:11,1.5364,6396.0
87,10012,20170911,11001,凤凰中文,2017-09-11 15:31:54,2017-09-11 15:45:36,0.2283,822.0
88,10012,20170911,11001,凤凰中文,2017-09-11 14:43:20,2017-09-11 15:31:55,0.8097,2915.0
89,10012,20170912,11001,凤凰中文,2017-09-12 17:01:59,2017-09-12 17:14:36,0.2103,757.0
90,10012,20170912,11001,凤凰中文,2017-09-12 16:44:13,2017-09-12 17:01:59,0.2961,1066.0
91,10012,20170913,11001,翡翠台,2017-09-13 15:05:51,2017-09-13 15:41:54,0.6008,2163.0
92,10012,20170913,11001,翡翠台,2017-09-13 15:41:53,2017-09-13 16:25:42,0.4283,2629.0
94,10012,20170918,11001,凤凰中文,2017-09-18 16:21:15,2017-09-18 16:23:54,0.0442,159.0
95,10012,20170918,11001,凤凰中文,2017-09-18 16:47:35,2017-09-18 16:49:31,0.0322,116.0
96,10012,20170918,11001,凤凰中文,2017-09-18 16:49:30,2017-09-18 16:50:36,0.0183,66.0
97,10012,20170918,11001,凤凰中文,2017-09-18 16:50:34,2017-09-18 17:20:52,0.505,1818.0
98,10012,20170918,11001,凤凰中文,2017-09-18 16:23:53,2017-09-18 16:47:36,0.3953,1423.0
99,10012,20170920,11001,翡翠台,2017-09-20 16:51:10,2017-09-20 17:13:32,0.3728,1342.0
100,10012,20170920,11001,翡翠台,2017-09-20 16:29:59,2017-09-20 16:51:11,0.3533,1272.0
101,10012,20170920,11001,翡翠台,2017-09-20 17:18:28,2017-09-20 17:38:12,0.3289,1184.0
102,10012,20170920,11001,翡翠台,2017-09-20 17:13:31,2017-09-20 17:18:29,0.0828,298.0
103,10012,20170920,11001,翡翠台,2017-09-20 15:43:45,2017-09-20 16:30:01,0.5003,2776.0
105,10012,20170924,11001,广东体育,2017-09-24 17:20:32,2017-09-24 17:36:34,0.2672,962.0
106,10012,20170924,11001,凤凰中文,2017-09-24 17:18:20,2017-09-24 17:20:33,0.0369,133.0
107,10012,20170924,11001,翡翠台,2017-09-24 14:46:31,2017-09-24 15:34:38,0.8019,2887.0
108,10012,20170925,11001,翡翠台,2017-09-25 15:21:50,2017-09-25 15:46:49,0.4164,1499.0
109,10012,20170925,11001,翡翠台,2017-09-25 14:47:35,2017-09-25 15:21:51,0.5711,2056.0
110,10013,20170817,11075,广东卫视-高清,2017-08-17 01:38:03,2017-08-17 01:42:15,0.07,252.0
111,10013,20170817,11075,浙江卫视-高清,2017-08-17 23:35:24,2017-08-17 23:37:51,0.0408,147.0
112,10013,20170817,11075,湖南卫视-高清,2017-08-17 02:26:05,2017-08-17 02:27:25,0.0222,80.0
113,10013,20170818,11075,广东卫视-高清,2017-08-18 14:28:24,2017-08-18 14:31:24,0.05,180.0
114,10013,20170818,11075,广东卫视-高清,2017-08-18 14:31:42,2017-08-18 14:46:16,0.2428,874.0
115,10013,20170819,11075,广东卫视-高清,2017-08-19 13:34:24,2017-08-19 13:36:03,0.0275,99.0
116,10013,20170819,11075,中央3台-高清,2017-08-19 22:02:22,2017-08-19 22:03:31,0.0192,69.0
117,10013,20170916,11075,河南卫视,2017-09-16 22:02:09,2017-09-16 23:02:00,0.9975,3591.0
118,10013,20170917,11075,河南卫视,2017-09-16 23:02:00,2017-09-17 10:13:36,0.2267,40296.0
125,10015,20170718,10299,中央1台-高清,2017-07-18 21:46:25,2017-07-18 21:48:06,0.0281,101.0
126,10015,20170718,10299,中央1台-高清,2017-07-18 21:48:05,2017-07-18 21:50:42,0.0436,157.0
127,10015,20170911,10299,东方卫视-高清,2017-09-11 21:01:43,2017-09-11 21:46:21,0.7439,2678.0
128,10020,20170917,10435,湖南卫视-高清,2017-09-17 17:34:43,2017-09-17 19:16:25,0.4214,6102.0
130,10020,20170924,10435,湖南卫视-高清,2017-09-24 14:15:11,2017-09-24 15:50:26,1.5875,5715.0
