,用户号,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号,当前套餐使用天数,入网天数
0,11183,互动电视,正常        ,20160718,120.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160718,20160718,20500101,11284,439.0,439.0
1,10830,互动电视,正常        ,20160119,0.0,,互动标准包,互动标准包-包月-26.5元,20160119,20170301,20500101,10980,620.0,620.0
2,10073,互动电视,正常        ,20141122,1.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130704,20130704,20500101,10551,1043.0,1549.0
3,10536,互动电视,正常        ,20140630,0.0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140630,20140630,20500101,10716,1188.0,1188.0
4,10082,互动电视,正常        ,20130711,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130711,20130711,20500101,11141,1542.0,1542.0
5,10783,互动电视,正常        ,20170125,0.0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151230,20151230,20500101,10524,248.0,640.0
6,10381,互动电视,正常        ,20160123,1.0,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131213,20131213,20500101,10167,616.0,1387.0
7,11188,互动电视,正常        ,20161228,0.0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20161228,20161228,20500101,10639,276.0,276.0
8,10546,互动电视,正常        ,20141004,64.27,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20141004,20141004,20500101,11263,1092.0,1092.0
9,10543,互动电视,正常        ,20140927,50.84,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140927,20140927,20500101,11201,1099.0,1099.0
10,11028,互动电视,正常        ,20160530,60.0,,互动59元包-600预存,互动59元包-600预存,20160530,20160530,20500101,11116,488.0,488.0
11,10274,互动电视,正常        ,20131007,0.0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131007,20131007,20500101,10479,1454.0,1454.0
12,11323,互动电视,正常        ,20160509,60.0,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160509,20160509,20500101,11060,509.0,509.0
13,10435,互动电视,正常        ,20171029,270.0,乐惠套餐-8M-包月-69元-预存600元,互动+联合宽带-49元-月享,互动+联合宽带-49元-月享,20140118,20161201,20500101,10020,-29.0,1351.0
14,10003,互动电视,正常        ,20090228,0.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198,3136.0,3716.0
15,10191,互动电视,正常        ,20130908,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130908,20130908,20500101,11213,1483.0,1483.0
16,10822,互动电视,正常        ,20160114,0.0,乐惠套餐-25M-3年-2380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160114,20160114,20500101,10678,625.0,625.0
17,10902,互动电视,正常        ,20160220,0.0,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160220,20160220,20500101,11041,588.0,588.0
18,10207,互动电视,正常        ,20130913,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10502,1478.0,1478.0
19,10206,互动电视,正常        ,20130913,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130913,20130913,20500101,10744,1478.0,1478.0
