,UserNo,ProgramNo,RecommendScore,ProgramName
0,10003,548,0.7098764467925157,追捕
8,10003,600,0.7098764467925157,08月06日 极限挑战 第三季：五美惊喜空降男人帮
13,10003,636,0.7098764467925157,贫民窟的百万富翁
19,10003,553,0.7077459703195539,08月11日 我们来了 第二季：唐艺昕陈妍希玩亲亲
24,10003,568,0.7039167976018799,暗黑杀神
95,10003,1174,0.6222356063738891,07月06日 今晚80后脱口秀：责任心
178,10003,609,0.518221459424828,09月16日 中餐厅：赵薇接任“主厨”遇岛主光临
183,10003,1167,0.45439818631359874,飓风营救3
203,10003,592,0.4542678530871328,新侠客行
207,10003,690,0.4542678530871328,寻人大师
1661,10012,1947,1.0246839979336397,黎明2011年LEON-X-U红馆演唱会
538,10012,1691,0.802577575940594,捉妖记
897,10012,2538,0.7690745886055246,太极2
3393,10012,1576,0.6028956563393805,我们的世界大战
457,10012,1681,0.5975168417448788,08月25日 巴巴爸爸的探险
1026,10012,1150,0.46481609875399593,08月29日 神奇阿呦
2516,10012,1502,0.4149426559098235,07月16日 巨神战击队第三季
1784,10012,451,0.39525033850057634,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
2911,10012,633,0.39525033850057634,蛇胆雄威
3016,10012,2281,0.3402069087198859,名侦探柯南：迷宫的十字路
2331,10018,2459,1.3610827484924328,07月27日 猪猪侠超星萌宠二
579,10018,1691,1.0843007908758198,捉妖记
1209,10018,2027,0.9696153564088879,奢华之旅：魁北克
1277,10018,2052,0.813658453973698,05月24日 神奇阿呦
1802,10018,451,0.7520969602456362,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
3450,10018,1272,0.6177816454138606,北京爱情故事
3258,10018,1088,0.6087050742901817,我的一九九七
1243,10018,477,0.5773590412411385,唐人街探案
1362,10018,819,0.5773590412411385,极限挑战 第一季20150802期
3432,10018,473,0.4120453040219172,印度超人
629,10019,1691,2.50887004567257,捉妖记
946,10019,2538,1.3256335451332615,太极2
1168,10019,1348,1.0492854299023946,哈利波特3：阿兹卡班的逃犯
2461,10019,2550,1.0122429077648734,冲出康普顿
1944,10019,2233,0.9300009436652414,古埃及的珍宝
1828,10019,451,0.8008585771035247,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
1978,10019,1301,0.6787832876356934,07月06日 贝肯熊
2268,10019,417,0.6642941463826143,大话西游之月光宝盒
477,10019,1681,0.620193791093882,08月25日 巴巴爸爸的探险
2530,10019,1502,0.44611613513818404,07月16日 巨神战击队第三季
1435,10026,2493,2.040804519307447,09月01日 小公主苏菲亚2
1760,10026,451,1.511611892315291,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
1270,10026,2052,1.4032699322596933,05月24日 神奇阿呦
46,10026,568,1.2056182597802516,暗黑杀神
3295,10026,2302,1.1842423495043755,03月10日 王牌对王牌 第二季：爱情公寓8周年重聚
1884,10026,2233,1.1485708916482675,古埃及的珍宝
1201,10026,2027,1.0489464369914787,奢华之旅：魁北克
2087,10026,696,0.9749578825059784,宝贝小猪麦2
1346,10026,819,0.8963235897840709,极限挑战 第一季20150802期
864,10026,2538,0.8883288761725485,太极2
553,10039,1691,2.912009751476915,捉妖记
1667,10039,1947,1.5803925741626474,黎明2011年LEON-X-U红馆演唱会
909,10039,2538,1.328117814685573,太极2
1138,10039,1348,0.9073386300845193,哈利波特3：阿兹卡班的逃犯
306,10039,1447,0.7614148175713383,阳光清洗
754,10039,2471,0.696095149039115,08月09日 神奇阿呦
460,10039,1681,0.6873063435035718,08月25日 巴巴爸爸的探险
2518,10039,1502,0.6862773888786511,07月16日 巨神战击队第三季
2873,10039,1588,0.6405203131652193,霍比特人：意外旅程
2946,10039,1984,0.6166031009240842,豪华爱漫游：法属波利尼西亚
1694,10050,1947,2.132552921737048,黎明2011年LEON-X-U红馆演唱会
631,10050,1691,1.5751763731426611,捉妖记
948,10050,2538,1.5386024107039327,太极2
1046,10050,1150,1.392822392142645,08月29日 神奇阿呦
337,10050,1447,1.2185587200200803,阳光清洗
2462,10050,2550,1.1765556525445249,冲出康普顿
478,10050,1681,0.9843976711148992,08月25日 巴巴爸爸的探险
3290,10050,1606,0.9682809916823374,美国骗局
2737,10050,389,0.9528826082824977,07月23日 超级飞侠二
2531,10050,1502,0.9002108143298463,07月16日 巨神战击队第三季
632,10051,1691,0.7397125876404428,捉妖记
788,10051,2471,0.6287697193942521,08月09日 神奇阿呦
1169,10051,1348,0.5841950604237535,哈利波特3：阿兹卡班的逃犯
3541,10051,1703,0.5462575336060629,星际小蚂蚁3D儿歌系列让我们荡起双桨
949,10051,2538,0.4841596527402469,太极2
2738,10051,389,0.45354485739677347,07月23日 超级飞侠二
168,10051,1174,0.44546513612283206,07月06日 今晚80后脱口秀：责任心
1600,10051,532,0.37661987356483456,长城
2270,10051,417,0.3650383569913695,大话西游之月光宝盒
3319,10051,1427,0.3511302259524106,龙与王冠的传说
1918,10055,2233,0.4740556655830431,古埃及的珍宝
547,10055,1691,0.44216649815885173,捉妖记
2727,10055,389,0.4326480892251577,07月23日 超级飞侠二
3179,10055,2017,0.42317307459355386,隐私保险箱
3322,10055,1109,0.40581791490014063,特别呈现：百年巨匠？关山月
2765,10055,1434,0.3974342489472235,记忆大师
2194,10055,2204,0.3929936933171424,09月19日 猫村狂想曲
903,10055,2538,0.3889799948268726,太极2
1238,10055,477,0.37891152839449777,唐人街探案
3437,10055,476,0.3710196248906684,哈利波特7：死亡圣器
3550,10056,1156,0.3093438385526436,圣龙奇兵大冒险
2675,10056,1955,0.26754470656675544,我的青春在延安
3551,10056,2517,0.23822770341445956,蝙蝠侠大战罗宾
2751,10056,1665,0.19642857142857142,05月07日 魔幻陀螺
3461,10056,1884,0.19642857142857142,08月05日 非诚勿扰：“忧郁小王子”花式矫情
955,10056,2538,0.19611613513818404,太极2
1250,10056,477,0.19611613513818404,唐人街探案
2771,10056,1434,0.19611613513818404,记忆大师
3552,10056,1390,0.19611613513818404,黑白照相馆
3553,10056,180,0.19611613513818404,老农民
2970,10058,860,0.2506155675790325,台湾味道 第一季
1562,10058,1477,0.19001991384646116,卧底归来
3571,10058,471,0.18257418583505536,冰河世纪4：大陆漂移
3573,10058,29,0.18257418583505536,那年花开月正圆
3575,10058,76,0.18257418583505536,楚乔传
2755,10058,1145,0.16699844891605697,安娜与国王
1833,10058,451,0.1512093913342648,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
2034,10058,506,0.1512093913342648,白狐
2359,10058,2459,0.1512093913342648,07月27日 猪猪侠超星萌宠二
3453,10058,1272,0.13754082869476458,北京爱情故事
2176,10059,679,0.6927358500338918,警察故事4之简单任务
1313,10059,1673,0.6741760361625699,05月22日 积高侠与阿里巴巴
2070,10059,712,0.6639853862722388,佳人蓓尔
2170,10059,478,0.6284236296903187,坚不可摧
2159,10059,367,0.5982805598209123,08月19日 汪汪队立大功
3585,10059,331,0.5930005865199648,05月25日 新葫芦兄弟
1564,10059,1477,0.5671735958578298,卧底归来
640,10059,1691,0.5409127466596181,捉妖记
206,10059,592,0.5398002516726217,新侠客行
214,10059,690,0.5398002516726217,寻人大师
3386,10061,2124,0.32786400477851635,小小羊提米提米的失误
3411,10061,1706,0.22360679774997896,星际小蚂蚁3D儿歌系列采蘑菇的小姑娘
3583,10061,1198,0.22360679774997896,06月30日 小济公
3586,10061,1585,0.22360679774997896,突围突围
3589,10061,1582,0.22360679774997896,出关
3591,10061,1245,0.22360679774997896,时代：行走的餐桌？杭州
3593,10061,1288,0.22360679774997896,05月15日 熊出没之春日对对碰
3595,10061,1634,0.22360679774997896,08月05日 熊熊乐园
3597,10061,1726,0.22360679774997896,真相：动物生存手册
2218,10061,570,0.10425720702853739,灭门
643,10064,1691,1.174852419995783,捉妖记
3599,10064,2219,0.724476056480701,一个人的武林
340,10064,1447,0.594572190889211,阳光清洗
3603,10064,1599,0.5683764442689502,星际小蚂蚁之环球追梦飞跃跑车
2677,10064,1955,0.5435954184390053,我的青春在延安
3605,10064,720,0.5130855303927944,蜘蛛侠1
2389,10064,2270,0.5052100025214515,自然：宇宙 解密古老传奇
2708,10064,2470,0.4937815155439836,08月08日 KK魔法可可
3607,10064,2414,0.48472020175405034,04月26日 超级飞侠
1314,10064,1673,0.4709624396639607,05月22日 积高侠与阿里巴巴
997,10076,1150,1.4501567155532697,08月29日 神奇阿呦
1078,10076,1348,1.4252141069933772,哈利波特3：阿兹卡班的逃犯
2279,10076,764,0.8764363426984642,芭芭拉
2399,10076,2550,0.8454205296901252,冲出康普顿
715,10076,2471,0.8368600267153027,08月09日 神奇阿呦
2953,10076,2260,0.8357095377205306,超级玛丽的世界轮子风波
2965,10076,2423,0.7947167841772765,05月30日 神奇阿呦
1417,10076,2493,0.7823513888586333,09月01日 小公主苏菲亚2
2969,10076,860,0.5979447187831279,台湾味道 第一季
2687,10076,960,0.5906809126421806,死人之夜
765,10082,2471,1.8795073571528416,08月09日 神奇阿呦
585,10082,1691,1.2433930027250746,捉妖记
319,10082,1447,0.7756105792440153,阳光清洗
1929,10082,2233,0.703819748494152,古埃及的珍宝
1278,10082,2052,0.6993052314775257,05月24日 神奇阿呦
1805,10082,451,0.6993052314775257,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
470,10082,1681,0.6844133602385911,08月25日 巴巴爸爸的探险
2668,10082,1955,0.6556362888258263,我的青春在延安
921,10082,2538,0.6208331423058087,太极2
1685,10082,1947,0.6095688311932767,黎明2011年LEON-X-U红馆演唱会
3177,10085,2017,0.9197658201204852,隐私保险箱
1108,10085,1348,0.8076414808548157,哈利波特3：阿兹卡班的逃犯
2428,10085,2550,0.7948174243682244,冲出康普顿
3321,10085,1109,0.7508604093293035,特别呈现：百年巨匠？关山月
2977,10085,262,0.7507051070759441,我们的少年时代
730,10085,2471,0.7282244744341715,08月09日 神奇阿呦
3014,10085,2281,0.7058180253507647,名侦探柯南：迷宫的十字路
1967,10085,1301,0.6954106750592636,07月06日 贝肯熊
1761,10085,451,0.68665451197723,07月15日 挑战者联盟 第三季：郑元畅陈学冬联手夺宝
1632,10085,1947,0.674608755277023,黎明2011年LEON-X-U红馆演唱会
497,10088,1691,2.6123230445861063,捉妖记
2483,10088,1502,2.357236723927893,07月16日 巨神战击队第三季
228,10088,1447,1.378384256406254,阳光清洗
1849,10088,2233,1.1528693617021044,古埃及的珍宝
2538,10088,1689,1.0277060598308703,小蚂蚁4D古诗视频
2547,10088,2363,0.9421366403362366,寰宇视野：感官奥秘-味觉和嗅觉
2552,10088,1592,0.8551258841138801,极限特工
2555,10088,2166,0.8331718559961631,第七子：降魔之战
2589,10088,2030,0.8253034802619494,我去世的吃醋女友
2599,10088,2496,0.8214530934976242,09月05日 豆小鸭
853,10089,2538,1.9268134721769763,太极2
2415,10089,2550,1.3316123361498902,冲出康普顿
3097,10089,2646,1.3114694831292908,天使的印迹：苦难
