,UserNo,ProgramNo,RecommendScore,ProgramName
0,10004,121,0.4082482904638631,07月16日 巨神战击队第三季
3,10004,144,0.1111111111111111,迪迦奥特曼
8,10004,192,0.1111111111111111,07月25日 小猪佩奇
12,10004,90,0.1111111111111111,疯狂原始人
20,10004,184,0.1111111111111111,06月28日 新大头儿子和小头爸爸
25,10004,167,0.1111111111111111,足球小将
29,10004,15,0.1111111111111111,魔法俏佳人 第一季
32,10004,26,0.1111111111111111,爱丽丝梦游仙境
34,10004,30,0.1111111111111111,雄狮
36,10004,32,0.1111111111111111,你的名字
123,10012,203,0.8339107955612063,08月05日 熊熊乐园
158,10012,152,0.6755286660229632,名侦探柯南
194,10012,151,0.6297866503292747,饥饿游戏
223,10012,112,0.23570226039551587,07月14日 中国新歌声 第二季：杰伦Eason对唱
240,10012,138,0.23570226039551587,花咒
247,10012,63,0.20412414523193154,07月15日 快乐大本营：Angelababy嗨玩双截棍
248,10012,65,0.20412414523193154,07月22日 快乐大本营：范爷胡歌送祝福惹哭何老师
249,10012,154,0.20412414523193154,05月26日 奔跑吧：陈赫玩烧脑怒怼邓超 刘涛被众疑超揪心
250,10012,137,0.20412414523193154,神秘事件
267,10012,100,0.20412414523193154,左轮手枪
275,10025,207,0.4082482904638631,08月08日 小猪佩奇
372,10025,130,0.4082482904638631,傲慢与偏见与僵尸
454,10025,86,0.4082482904638631,银河护卫队
478,10025,133,0.4082482904638631,忍者神龟：变种时代
485,10025,194,0.4082482904638631,07月28日 小猪佩奇
166,10085,152,1.5245638646895836,名侦探柯南
295,10085,122,1.282762754436745,07月18日 巨神战击队第三季
200,10085,151,1.2437974494006498,饥饿游戏
276,10085,207,1.0773502691896257,08月08日 小猪佩奇
460,10085,86,0.7071067811865475,银河护卫队
326,10085,212,0.7054124852471191,08月19日 汪汪队立大功
354,10085,94,0.7054124852471191,浪花一朵朵
398,10085,173,0.6664471802110241,你好，是鹿晗吗 2016：鹿BOSS为巡演亲自召开筹备会
257,10085,137,0.5,神秘事件
504,10085,107,0.4082482904638631,门徒
301,10088,122,0.9990707667627815,07月18日 巨神战击队第三季
131,10088,203,0.8794976108937314,08月05日 熊熊乐园
333,10088,212,0.6825741858350554,08月19日 汪汪队立大功
380,10088,130,0.6825741858350554,傲慢与偏见与僵尸
519,10088,123,0.5018758509504233,07月19日 巨神战击队第三季
172,10088,152,0.5,名侦探柯南
440,10088,191,0.5,07月23日 大耳朵图图彩色小世界
405,10088,173,0.4712493204298683,你好，是鹿晗吗 2016：鹿BOSS为巡演亲自召开筹备会
227,10088,112,0.4082482904638631,07月14日 中国新歌声 第二季：杰伦Eason对唱
465,10088,86,0.4082482904638631,银河护卫队
426,10104,196,1.414213562373095,07月31日 小猪佩奇
132,10104,203,1.2437974494006498,08月05日 熊熊乐园
334,10104,212,0.9653056709337086,08月19日 汪汪队立大功
381,10104,130,0.9653056709337086,傲慢与偏见与僵尸
302,10104,122,0.8355491589367869,07月18日 巨神战击队第三季
173,10104,152,0.7071067811865475,名侦探柯南
441,10104,191,0.7071067811865475,07月23日 大耳朵图图彩色小世界
406,10104,173,0.6664471802110241,你好，是鹿晗吗 2016：鹿BOSS为巡演亲自召开筹备会
228,10104,112,0.5773502691896258,07月14日 中国新歌声 第二季：杰伦Eason对唱
466,10104,86,0.5773502691896258,银河护卫队
196,10115,151,0.4826528354668543,饥饿游戏
274,10115,207,0.20412414523193154,08月08日 小猪佩奇
452,10115,86,0.20412414523193154,银河护卫队
477,10115,133,0.20412414523193154,忍者神龟：变种时代
482,10115,162,0.20412414523193154,08月13日 熊出没之环球大冒险
484,10115,194,0.20412414523193154,07月28日 小猪佩奇
125,10115,203,0.12909944487358055,08月05日 熊熊乐园
322,10115,212,0.12909944487358055,08月19日 汪汪队立大功
351,10115,94,0.12909944487358055,浪花一朵朵
486,10115,4,0.12909944487358055,巧虎来啦
586,10129,109,0.7071067811865475,08月25日 中国新歌声 第二季：周董E神上演嘻哈对决
59,10129,189,0.5773502691896258,07月19日 熊熊乐园
577,10129,163,0.5773502691896258,守卫者-浮出水面
16,10131,90,0.3693100008582722,疯狂原始人
21,10131,184,0.3693100008582722,06月28日 新大头儿子和小头爸爸
511,10131,107,0.3333333333333333,门徒
591,10131,214,0.3333333333333333,奔跑吧兄弟 第二季
26,10131,167,0.28518876706680896,足球小将
39,10131,143,0.2581988897471611,海底小纵队 特别篇
45,10131,157,0.2581988897471611,一拳超人
81,10131,9,0.17407765595569785,人民的名义
83,10131,22,0.17407765595569785,我的前半生
86,10131,24,0.17407765595569785,07月01日 小花仙
210,10133,151,0.3940843899337589,饥饿游戏
145,10133,203,0.2879834411740013,08月05日 熊熊乐园
314,10133,122,0.2879834411740013,07月18日 巨神战击队第三季
363,10133,94,0.2879834411740013,浪花一朵朵
185,10133,152,0.18257418583505536,名侦探柯南
72,10133,125,0.10540925533894598,07月21日 赛尔号之幻梦战记
78,10133,127,0.10540925533894598,07月29日 超级飞侠二
391,10133,130,0.10540925533894598,傲慢与偏见与僵尸
491,10133,4,0.10540925533894598,巧虎来啦
544,10133,134,0.10540925533894598,漂洋过海来爱你
495,10138,149,0.6143701630168099,赌城群英会
161,10138,152,0.46188021535170054,名侦探柯南
503,10138,107,0.31622776601683794,门徒
516,10138,123,0.31622776601683794,07月19日 巨神战击队第三季
13,10138,90,0.23094010767585027,疯狂原始人
533,10138,79,0.23094010767585027,09月01日 星原小宝
535,10138,142,0.23094010767585027,龙黄蜂
92,10148,182,0.6208146325056981,06月07日 熊熊乐园
94,10148,98,0.4082482904638631,反击
95,10148,179,0.4082482904638631,07月07日 疯狂小糖
98,10148,104,0.35355339059327373,美国司法
101,10148,171,0.35355339059327373,神兽金刚 第一季
104,10148,6,0.2672612419124244,海底小纵队
108,10148,7,0.2672612419124244,蓝精灵：寻找神秘村
111,10148,21,0.2672612419124244,使徒行者2
115,10148,23,0.2672612419124244,欢乐颂2
119,10148,43,0.2672612419124244,临时演员
206,10152,151,1.2989011127610455,饥饿游戏
142,10152,203,0.7406034215804804,08月05日 熊熊乐园
182,10152,152,0.4248655564138277,名侦探柯南
343,10152,212,0.40727008824714706,08月19日 汪汪队立大功
362,10152,94,0.40727008824714706,浪花一朵朵
42,10152,157,0.34074432262236454,一拳超人
568,10152,135,0.34074432262236454,灰姑娘
57,10152,189,0.32314885445568386,07月19日 熊熊乐园
262,10152,137,0.17407765595569785,神秘事件
521,10152,123,0.17407765595569785,07月19日 巨神战击队第三季
592,10168,214,0.5773502691896258,奔跑吧兄弟 第二季
598,10168,95,0.5773502691896258,变种章鲨
153,10168,203,0.4082482904638631,08月05日 熊熊乐园
218,10168,151,0.4082482904638631,饥饿游戏
420,10168,173,0.4082482904638631,你好，是鹿晗吗 2016：鹿BOSS为巡演亲自召开筹备会
501,10168,149,0.4082482904638631,赌城群英会
528,10168,123,0.4082482904638631,07月19日 巨神战击队第三季
47,10213,157,0.5294284823724483,一拳超人
74,10213,125,0.4988019518518933,07月21日 赛尔号之幻梦战记
79,10213,127,0.4988019518518933,07月29日 超级飞侠二
6,10213,144,0.4523105295047923,迪迦奥特曼
24,10213,184,0.4523105295047923,06月28日 新大头儿子和小头爸爸
575,10213,209,0.4082482904638631,08月10日 小猪佩奇
579,10213,163,0.4082482904638631,守卫者-浮出水面
189,10213,152,0.35355339059327373,名侦探柯南
239,10213,112,0.35355339059327373,07月14日 中国新歌声 第二季：杰伦Eason对唱
589,10213,217,0.35355339059327373,盖亚奥特曼
127,10228,203,1.5022158256034537,08月05日 熊熊乐园
252,10228,137,0.5773502691896258,神秘事件
292,10228,122,0.4248655564138277,07月18日 巨神战击队第三季
197,10228,151,0.4082482904638631,饥饿游戏
537,10228,134,0.4082482904638631,漂洋过海来爱你
